Month,AlexJones,SchoolShooting,GunControl,DonaldTrump,Abortion,LGBTQ,Trans,BLM,Immigration,FreeSpeech,CRT,Woke,FreeReligion,WEF,Antivax
2004-01,1,1,8,1,18,1,6,1,37,13,8,1,5,6,13
2004-02,0,2,9,1,20,1,5,1,37,17,6,1,6,2,0
2004-03,1,2,10,1,23,1,6,1,36,17,7,0,4,3,13
2004-04,1,2,10,2,26,1,5,1,34,17,8,1,4,3,0
2004-05,1,2,8,1,21,1,6,1,32,13,9,1,3,2,0
2004-06,1,0,5,1,13,1,6,1,29,8,9,0,3,2,0
2004-07,1,1,5,1,13,1,6,1,26,7,8,1,2,1,0
2004-08,1,0,4,1,11,1,5,1,25,7,9,1,2,2,0
2004-09,1,1,8,1,17,1,5,1,32,14,9,1,6,1,0
2004-10,1,1,11,1,32,1,5,1,34,19,9,2,6,3,0
2004-11,2,1,10,1,30,1,6,1,35,17,7,1,5,2,0
2004-12,1,1,6,1,19,1,5,1,28,14,9,1,5,2,0
2005-01,1,1,6,2,17,1,5,1,27,11,8,1,4,5,0
2005-02,1,1,7,1,18,1,5,1,30,15,8,1,5,2,0
2005-03,1,6,7,1,17,1,5,1,28,13,9,1,3,2,0
2005-04,1,4,8,1,21,1,5,1,31,14,7,1,4,2,0
2005-05,1,2,7,1,20,1,5,1,30,11,9,1,4,3,0
2005-06,1,1,4,1,11,1,5,1,24,8,7,1,2,1,0
2005-07,1,1,3,0,11,1,5,1,23,6,6,0,2,1,0
2005-08,1,1,3,0,10,1,5,1,22,5,8,1,2,2,0
2005-09,1,1,5,1,14,1,5,1,26,13,6,0,4,2,0
2005-10,1,1,7,1,19,1,5,1,31,14,9,1,6,2,0
2005-11,1,2,7,1,20,1,5,1,30,15,6,1,6,1,0
2005-12,1,1,6,1,14,1,6,1,27,11,7,1,3,1,0
2006-01,1,1,5,1,17,1,5,1,27,9,8,1,4,5,0
2006-02,1,1,5,1,17,1,5,1,27,14,7,1,3,3,0
2006-03,2,1,6,1,19,1,5,1,40,13,7,1,4,2,6
2006-04,1,2,6,1,17,1,5,1,65,14,7,1,4,1,9
2006-05,2,1,5,1,15,1,5,1,60,11,6,1,4,1,9
2006-06,2,0,3,1,11,1,5,1,30,7,7,1,2,1,0
2006-07,2,1,3,0,10,1,4,1,22,6,6,1,2,2,0
2006-08,3,1,3,0,9,1,4,1,23,5,6,1,2,1,0
2006-09,2,3,4,1,12,1,4,1,29,11,6,1,4,2,0
2006-10,2,12,5,1,15,1,5,1,33,14,7,1,4,2,0
2006-11,1,2,6,0,19,1,5,1,33,12,6,1,4,2,0
2006-12,1,2,4,1,13,1,5,1,27,10,6,1,4,2,0
2007-01,2,2,4,1,12,1,4,1,26,8,6,1,3,5,4
